"removed_feature","kept_feature","correlation"
"S2_EVI_annual_sd","S2_EVI_annual_amplitude",0.980886354484851
"S2_MNDWI_annual_sd","S2_MNDWI_annual_amplitude",0.97654772412054
"S2_NBR_annual_sd","S2_NBR_annual_amplitude",0.964783759929391
"S2_NBR2_annual_sd","S2_NBR2_annual_amplitude",0.965031460866099
"S2_NDMI_annual_max","S2_NBR_annual_max",0.917580665497985
"S2_NDMI_annual_mean","S2_NBR_annual_mean",0.970593953494048
"S2_NDMI_annual_sd","S2_NDMI_annual_amplitude",0.959329458515177
"S2_NDRE_annual_mean","S2_NBR2_annual_mean",0.919058329706623
"S2_NDRE_annual_sd","S2_NDRE_annual_amplitude",0.95807875181505
"S2_NDVI_annual_amplitude","S2_NDRE_annual_amplitude",0.92766847934402
"S2_NDVI_annual_max","S2_NDRE_annual_max",0.904047369874667
"S2_NDVI_annual_mean","S2_NBR2_annual_mean",0.907060086797011
"S2_NDVI_annual_min","S2_NDRE_annual_min",0.974292880068905
"S2_NDVI_annual_sd","S2_NDRE_annual_amplitude",0.914220230130033
"S2_NDWI_annual_max","S2_NDRE_annual_min",-0.937514356442483
"S2_NDWI_annual_mean","S2_NBR2_annual_mean",-0.928115886618862
"S2_NDWI_annual_sd","S2_NDWI_annual_amplitude",0.963749028922847
"LST_spring_mean_C","LST_spring_max_C",0.935387341225234
"LST_spring_min_C","LST_growing_min_C",0.998895604885295
"LST_summer_max_C","LST_growing_max_C",0.97953069984315
"S1_ASC_VH_annual_mean","S1_ASC_VH_annual_max",0.937277567405973
"S1_ASC_VH_annual_sd","S1_ASC_VH_annual_amplitude",0.969225293966916
"S1_ASC_VV_annual_min","S1_ASC_VV_annual_mean",0.929365779851217
"S1_ASC_VV_annual_sd","S1_ASC_VV_annual_amplitude",0.981614408141186
"S1_ASC_VV_minus_VH_annual_mean","S1_ASC_VV_minus_VH_annual_max",0.94077629229524
"S1_ASC_VV_minus_VH_annual_sd","S1_ASC_VV_minus_VH_annual_amplitude",0.968357730587609
"S1_DESC_VH_annual_mean","S1_DESC_VH_annual_max",0.934408873306462
"S1_DESC_VH_annual_min","S1_ASC_VH_annual_min",0.934270990519033
"S1_DESC_VH_annual_sd","S1_DESC_VH_annual_amplitude",0.976620529486173
"S1_DESC_VV_annual_mean","S1_DESC_VV_annual_max",0.912651864264768
"S1_DESC_VV_annual_sd","S1_DESC_VV_annual_amplitude",0.98198412924376
"S1_DESC_VV_minus_VH_annual_mean","S1_DESC_VV_minus_VH_annual_max",0.933147998259179
"S1_DESC_VV_minus_VH_annual_sd","S1_DESC_VV_minus_VH_annual_amplitude",0.968580620757257
"S2_blue_annual_max","S2_blue_annual_amplitude",0.945052920318152
"S2_blue_annual_sd","S2_blue_annual_amplitude",0.984586894423238
"S2_green_annual_amplitude","S2_blue_annual_amplitude",0.942743047773936
"S2_green_annual_mean","S2_blue_annual_mean",0.934296899761527
"S2_green_annual_sd","S2_green_annual_max",0.930703197403501
"S2_nir_annual_max","S2_EVI_annual_max",0.901801161104101
"S2_nir_annual_sd","S2_nir_annual_amplitude",0.969522493061106
"S2_nir8a_annual_amplitude","S2_nir_annual_amplitude",0.979651674460677
"S2_nir8a_annual_max","S2_EVI_annual_max",0.912955292066842
"S2_nir8a_annual_mean","S2_nir_annual_mean",0.997542107125571
"S2_nir8a_annual_min","S2_nir_annual_min",0.984055243673956
"S2_nir8a_annual_sd","S2_nir_annual_amplitude",0.951059811989402
"S2_re1_annual_max","S2_green_annual_max",0.90176719240932
"S2_re1_annual_sd","S2_re1_annual_amplitude",0.98176172338342
"S2_re2_annual_amplitude","S2_nir_annual_amplitude",0.9469118774851
"S2_re2_annual_mean","S2_nir_annual_mean",0.980540527019391
"S2_re2_annual_min","S2_nir_annual_min",0.962009348212995
"S2_re2_annual_sd","S2_nir_annual_amplitude",0.943344268042942
"S2_re3_annual_amplitude","S2_nir_annual_amplitude",0.98328411673353
"S2_re3_annual_max","S2_re2_annual_max",0.958751235964125
"S2_re3_annual_mean","S2_nir_annual_mean",0.995648354151329
"S2_re3_annual_min","S2_nir_annual_min",0.980390876843064
"S2_re3_annual_sd","S2_nir_annual_amplitude",0.953364367829073
"S2_red_annual_amplitude","S2_green_annual_max",0.908593065143675
"S2_red_annual_max","S2_green_annual_max",0.948386558835054
"S2_red_annual_mean","S2_blue_annual_mean",0.915687505478217
"S2_swir1_annual_sd","S2_swir1_annual_amplitude",0.973334823335636
"S2_swir2_annual_max","S2_swir2_annual_amplitude",0.921938957451419
"S2_swir2_annual_mean","S2_swir1_annual_mean",0.902544802513865
"S2_swir2_annual_sd","S2_swir2_annual_amplitude",0.984075332089188
"DGM200_mean_1km_m","DGM200_elevation_m",0.997363144215634
"DGM200_mean_3km_m","DGM200_elevation_m",0.991886065703792
"JRC_max_extent","JRC_dist_max_extent_m",-1
"S2_m03_NDMI","S2_m03_NBR",0.929844098901412
"S2_m03_NDVI","S2_m03_NDRE",0.969156149206259
"S2_m03_NDWI","S2_m03_NDRE",-0.948161766201228
"S2_m04_EVI","S2_m03_EVI",0.915963491566373
"S2_m04_NDMI","S2_m04_NBR",0.944429169327384
"S2_m04_NDRE","S2_m03_NDRE",0.915331427107187
"S2_m04_NDWI","S2_m04_NDVI",-0.96407390396138
"S2_m05_NBR2","S2_m05_NBR",0.923020324492295
"S2_m05_NDMI","S2_m05_NBR",0.97719117712854
"S2_m05_NDRE","S2_m05_EVI",0.935697812991894
"S2_m05_NDVI","S2_m05_EVI",0.933338756451816
"S2_m05_NDWI","S2_m05_EVI",-0.938035312636002
"S2_m06_NBR2","S2_m06_NBR",0.913674079426396
"S2_m06_NDMI","S2_m06_NBR",0.972165166496516
"S2_m06_NDVI","S2_m06_NDRE",0.974703592680417
"S2_m06_NDWI","S2_m06_NDRE",-0.97384131684163
"S2_m08_NBR2","S2_m08_NBR",0.903758627842562
"S2_m08_NDMI","S2_m08_NBR",0.98269754048019
"S2_m08_NDVI","S2_m08_NDRE",0.967590223744311
"S2_m08_NDWI","S2_m08_NDRE",-0.974781278852685
"S2_m07_NBR2","S2_m07_NBR",0.93160938140165
"S2_m07_NDMI","S2_m07_NBR",0.975658920832335
"S2_m07_NDRE","S2_m07_NBR",0.917872991993942
"S2_m07_NDVI","S2_m07_NBR",0.925838843535933
"S2_m09_NBR2","S2_m09_NBR",0.903215342846703
"S2_m09_NDMI","S2_m09_NBR",0.97769729561072
"S2_m09_NDVI","S2_m09_NDRE",0.93221237659372
"S2_m09_NDWI","S2_m09_NDRE",-0.962826871550671
"S2_m01_NDMI","S2_m01_NBR",0.905172451900231
"S2_m01_NDVI","S2_m01_NDRE",0.976583341621634
"S2_m01_NDWI","S2_m01_NDRE",-0.951891390113715
"S2_m10_NDMI","S2_m10_NBR",0.959622275534684
"S2_m10_NDVI","S2_m10_NDRE",0.956572478616274
"S2_m10_NDWI","S2_m10_NDRE",-0.917432640352348
"S2_m12_NDMI","S2_m12_NBR",0.936501914539971
"S2_m12_NDVI","S2_m12_NDRE",0.97198545336158
"S2_m12_NDWI","S2_m12_NDRE",-0.921116453319116
"S2_m02_EVI","S2_m03_EVI",0.912245090075291
"S2_m02_NDMI","S2_m02_NBR",0.95072151875849
"S2_m02_NDVI","S2_m02_NDRE",0.963597076644263
"S2_m02_NDWI","S2_m02_NDRE",-0.91066782955861
"S2_m11_NDMI","S2_m11_NBR",0.953947454764756
"S2_m11_NDVI","S2_m11_NDRE",0.968077812383002
"S2_m11_NDWI","S2_m11_NDRE",-0.901044245431036
"S1_m01_ASC_VH","S1_ASC_VH_annual_max",0.913615416841223
"S1_m01_DESC_VH","S1_DESC_VH_annual_max",0.903266886574121
"S1_m02_ASC_VH","S1_ASC_VH_annual_min",0.905874864252566
"S1_m02_DESC_VV","S1_m01_DESC_VV",0.92967001679811
"S1_m03_ASC_VH","S1_ASC_VH_annual_min",0.940323597479877
"S1_m03_ASC_VV","S1_ASC_VV_annual_mean",0.916617519655415
"S1_m03_DESC_VH","S1_m02_DESC_VH",0.930685224578115
"S1_m03_DESC_VV","S1_DESC_VV_annual_min",0.902450571664477
"S1_m04_ASC_VH","S1_ASC_VH_annual_min",0.93948816607758
"S1_m04_ASC_VV","S1_ASC_VV_annual_mean",0.913861897576273
"S1_m04_DESC_VH","S1_m02_DESC_VH",0.915666982563318
"S1_m04_DESC_VV","S1_DESC_VV_annual_min",0.941638568134027
"S1_m05_ASC_VH","S1_ASC_VH_annual_min",0.935947547598033
"S1_m05_DESC_VV","S1_DESC_VV_annual_min",0.960064019913691
"S1_m06_ASC_VH","S1_ASC_VH_annual_max",0.901148616494686
"S1_m06_ASC_VV","S1_ASC_VV_annual_mean",0.930137760767263
"S1_m06_DESC_VH","S1_DESC_VH_annual_max",0.919900675584985
"S1_m07_ASC_VH","S1_ASC_VH_annual_max",0.91252252288895
"S1_m07_ASC_VV","S1_ASC_VV_annual_mean",0.925699887334714
"S1_m07_DESC_VH","S1_DESC_VH_annual_max",0.92041234681385
"S1_m07_DESC_VV","S1_m06_DESC_VV",0.93892646658071
"S1_m08_ASC_VV","S1_ASC_VV_annual_mean",0.922031961148779
"S1_m08_DESC_VV","S1_m06_DESC_VV",0.921223374182974
"S1_m09_ASC_VH","S1_m08_ASC_VH",0.913250169811398
"S1_m09_ASC_VV","S1_ASC_VV_annual_mean",0.906618373796576
"S1_m09_DESC_VH","S1_m08_DESC_VH",0.925682804511492
"S1_m10_ASC_VV","S1_ASC_VV_annual_mean",0.906785948157699
"S1_m10_DESC_VH","S1_DESC_VH_annual_max",0.904995912324444
"S1_m10_DESC_VV","S1_DESC_VV_annual_max",0.931448664082551
"S1_m11_ASC_VH","S1_m10_ASC_VH",0.948537995045981
"S1_m11_ASC_VV","S1_ASC_VV_annual_mean",0.927050650570851
"S1_m11_DESC_VH","S1_DESC_VH_annual_max",0.906492693025734
"S1_m11_DESC_VV","S1_DESC_VV_annual_max",0.902226868027056
"S1_m12_ASC_VH","S1_m10_ASC_VH",0.946396947868918
"S1_m12_ASC_VV","S1_ASC_VV_annual_mean",0.934289700277799
"S1_m12_DESC_VV","S1_m01_DESC_VV",0.90006345048625
"S2_m03_green","S2_m03_blue",0.968262320915178
"S2_m03_nir8a","S2_m03_nir",0.994348012124138
"S2_m03_re1","S2_re1_annual_mean",0.912694137141951
"S2_m03_re2","S2_m03_nir",0.977248080543215
"S2_m03_re3","S2_m03_nir",0.989519460075901
"S2_m03_red","S2_m03_blue",0.935627711674878
"S2_m03_swir2","S2_m03_swir1",0.928702803991029
"S2_m04_blue","S2_m03_blue",0.920125096499398
"S2_m04_green","S2_m03_blue",0.936848367958873
"S2_m04_nir","S2_m03_nir",0.928322884659617
"S2_m04_nir8a","S2_m03_nir",0.923060943095799
"S2_m04_re2","S2_m03_nir",0.907704608297795
"S2_m04_re3","S2_m03_nir",0.914502904900675
"S2_m04_swir1","S2_m03_swir1",0.92776663832746
"S2_m04_swir2","S2_m04_red",0.903754352834265
"S2_m05_green","S2_m05_blue",0.934776288793492
"S2_m05_nir8a","S2_m05_nir",0.996722734047591
"S2_m05_re2","S2_m05_nir",0.982788201883655
"S2_m05_re3","S2_m05_nir",0.994959944236895
"S2_m05_red","S2_m05_blue",0.940898752857046
"S2_m05_swir2","S2_m05_swir1",0.935262390503642
"S2_m06_green","S2_m06_blue",0.921190834580964
"S2_m06_nir8a","S2_m06_nir",0.996686945087218
"S2_m06_re2","S2_m06_nir",0.978307323509005
"S2_m06_re3","S2_m06_nir",0.995093662332854
"S2_m06_red","S2_m06_blue",0.920930206074965
"S2_m06_swir2","S2_m06_swir1",0.934481262115702
"S2_m08_green","S2_m08_blue",0.950293287845465
"S2_m08_nir8a","S2_m08_nir",0.995925738376545
"S2_m08_re2","S2_m08_nir",0.972275656962673
"S2_m08_re3","S2_m08_nir",0.994617682821632
"S2_m08_red","S2_m08_blue",0.944722206264856
"S2_m08_swir2","S2_m08_swir1",0.923212647335857
"S2_m07_green","S2_m07_blue",0.934038531429514
"S2_m07_nir8a","S2_m07_nir",0.993957225959299
"S2_m07_re2","S2_m07_nir",0.971351799653292
"S2_m07_re3","S2_m07_nir",0.993283568337505
"S2_m07_red","S2_m07_blue",0.917234723711935
"S2_m07_swir2","S2_m07_swir1",0.915492726218575
"S2_m09_green","S2_m09_blue",0.928153034464405
"S2_m09_nir8a","S2_m09_nir",0.993056252853882
"S2_m09_re2","S2_m09_nir",0.967528826014465
"S2_m09_re3","S2_m09_nir",0.989839437757352
"S2_m09_red","S2_m09_blue",0.918497230092014
"S2_m09_swir2","S2_m09_swir1",0.915665741259776
"S2_m01_green","S2_m01_blue",0.92922409690214
"S2_m01_nir8a","S2_m01_nir",0.99230526638185
"S2_m01_re2","S2_m01_nir",0.976394342289496
"S2_m01_re3","S2_m01_nir",0.988075189916413
"S2_m01_red","S2_m01_blue",0.927391934145652
"S2_m01_swir2","S2_m01_swir1",0.916662718202242
"S2_m10_green","S2_m10_blue",0.903848936035076
"S2_m10_nir8a","S2_m10_nir",0.9858166361278
"S2_m10_re2","S2_m10_nir",0.965136533858087
"S2_m10_re3","S2_m10_nir",0.981961067757782
"S2_m10_red","S2_m10_blue",0.904327514923518
"S2_m12_green","S2_m12_blue",0.924082028420786
"S2_m12_nir8a","S2_m12_nir",0.989096912662233
"S2_m12_re2","S2_m12_nir",0.974189567275356
"S2_m12_re3","S2_m12_nir",0.985885635666162
"S2_m12_swir2","S2_m12_swir1",0.948373345994426
"S2_m02_green","S2_m02_blue",0.956625350057462
"S2_m02_nir8a","S2_m02_nir",0.989628557570788
"S2_m02_re2","S2_m02_nir",0.967953633412994
"S2_m02_re3","S2_m02_nir",0.983946816895666
"S2_m02_red","S2_m02_blue",0.901302075096488
"S2_m02_swir2","S2_m02_swir1",0.942625366593722
"S2_m11_nir8a","S2_m11_nir",0.985784270870245
"S2_m11_re2","S2_m11_nir",0.954765806270101
"S2_m11_re3","S2_m11_nir",0.981319681807822
"S2_m11_swir2","S2_m11_swir1",0.906118717326231
